"","Est","lci","uci","var","outcome_name"
"1",1.0296817598325,1.01985760251199,1.0396005519989,"alcohol","Acute Alcohol-Related Event"
"2",1.01145214741173,1.01046949096478,1.01243575946763,"anxiety","Anxiety"
"3",0.990998507199696,0.988982168627236,0.993018956686758,"asthma","Asthma exacerbations"
"4",1.00631488783991,1.00103373165862,1.01162390583018,"cba","Cerebrovascular Accident"
"5",0.988123300797254,0.98442226322767,0.991838252801327,"copd","COPD exacerbations"
"6",1.0185133191591,1.01760116603342,1.01942628991683,"depression","Depression"
"7",0.986881648409599,0.948999520773805,1.02627595340987,"diabetes","Diabetic Emergencies"
"8",1.01011558234744,1.00369545857775,1.01657677234779,"feedingdisorders","Eating Disorders"
"9",1.00945400736019,1.00641439793738,1.0125027971221,"hf","Heart Failure"
"10",0.998862988527477,0.991794779929784,1.00598157001863,"mi","Myocardial Infarction"
"11",1.01374106193174,1.00620356347218,1.02133502399875,"ocd","OCD"
"12",1.01386024064643,1.0107392444762,1.01699087393834,"selfharm","Self-harm"
"13",1.00187923878382,0.999081519348146,1.00468479264932,"smi","Severe Mental Illness"
"14",1.01105508965216,1.00301677552244,1.0191578239348,"tia","Transient Ischaemic Attacks"
"15",1.02690672705074,1.00728006348346,1.04691581248534,"ua","Unstable Angina"
"16",0.987836697010619,0.982549940202532,0.993151900003886,"vte","Venous Thromboembolism"
