"","Est","lci","uci","var","outcome_name"
"1",0.978933217997131,0.890246279013062,1.07645521008031,"alcohol","Acute Alcohol-Related Event"
"2",0.666901219067499,0.660835118181418,0.673023003404637,"anxiety","Anxiety"
"3",0.880268101336534,0.864724549261978,0.896091051065871,"asthma","Asthma exacerbations"
"4",0.592300279468211,0.563962911203485,0.622061511650614,"cba","Cerebrovascular Accident"
"5",0.581997108769275,0.563750481333748,0.600834315590177,"copd","COPD exacerbations"
"6",0.52872153326545,0.524260188288099,0.533220843359076,"depression","Depression"
"7",0.3541027081754,0.25205038174834,0.497474858269989,"diabetes","Diabetic Emergencies"
"8",0.622331517996372,0.58633757603431,0.660535046911279,"feedingdisorders","Eating Disorders"
"9",0.618877826939273,0.601684528038397,0.636562429028647,"hf","Heart Failure"
"10",0.724861272235739,0.679501299629311,0.773249240691445,"mi","Myocardial Infarction"
"11",0.690918405759073,0.643827575065701,0.741453553566643,"ocd","OCD"
"12",0.562620430767063,0.544872238759388,0.580946736866691,"selfharm","Self-harm"
"13",0.804120884684726,0.783518672646883,0.825264821068994,"smi","Severe Mental Illness"
"14",0.62646980358675,0.581620895637538,0.674777020134096,"tia","Transient Ischaemic Attacks"
"15",0.719807291594549,0.597526728717173,0.86711189998987,"ua","Unstable Angina"
"16",0.944769382591359,0.899959456152841,0.991810442325601,"vte","Venous Thromboembolism"
