weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,3779955,0,ethnicity,0,0,744
01jan2017,293049,0,ethnicity,1,0,14
01jan2017,3618289,0,gender,1,0,623
01jan2017,7174966,0,overall,1,0,1271
01jan2017,248280,0,region,1,0,37
01jan2017,180227,0,ethnicity,2,0,34
01jan2017,3556677,0,gender,2,0,648
01jan2017,1225731,0,region,2,0,240
01jan2017,86473,0,ethnicity,3,0,5
01jan2017,259709,0,region,3,0,44
01jan2017,56005,0,ethnicity,4,0,5
01jan2017,172559,0,region,4,0,34
01jan2017,2779257,0,ethnicity,5,0,469
01jan2017,1157537,0,region,5,0,209
01jan2017,354740,0,region,6,0,47
01jan2017,878048,0,region,7,0,182
01jan2017,910667,0,region,8,0,149
01jan2017,1309139,0,region,9,0,199
01jan2017,613558,0,region,10,0,120
01jan2017,31721,0,region,11,0,7
01jan2017,13277,0,region,12,0,5
01jan2017,1559933,0,age,40,0,121
01jan2017,1577507,0,age,50,0,180
01jan2017,1520720,0,age,60,0,211
01jan2017,1165390,0,age,70,0,241
01jan2017,833570,0,age,80,0,275
01jan2017,426769,0,age,90,0,196
01jan2017,91077,0,age,100,0,47
08jan2017,3782648,1,ethnicity,0,0,722
08jan2017,293364,1,ethnicity,1,0,13
08jan2017,3620625,1,gender,1,0,599
08jan2017,7179709,1,overall,1,0,1192
08jan2017,248242,1,region,1,0,41
08jan2017,180465,1,ethnicity,2,0,22
08jan2017,3559084,1,gender,2,0,593
08jan2017,1226016,1,region,2,0,221
08jan2017,86634,1,ethnicity,3,0,5
08jan2017,259776,1,region,3,0,41
08jan2017,56081,1,ethnicity,4,0,5
08jan2017,172587,1,region,4,0,38
08jan2017,2780517,1,ethnicity,5,0,425
08jan2017,1158136,1,region,5,0,211
08jan2017,354806,1,region,6,0,58
08jan2017,878914,1,region,7,0,157
08jan2017,911373,1,region,8,0,142
08jan2017,1310832,1,region,9,0,168
08jan2017,614022,1,region,10,0,104
08jan2017,31729,1,region,11,0,5
08jan2017,13276,1,region,12,0,9
08jan2017,1562683,1,age,40,0,100
08jan2017,1578893,1,age,50,0,140
08jan2017,1521549,1,age,60,0,181
08jan2017,1165850,1,age,70,0,241
08jan2017,833484,1,age,80,0,298
08jan2017,426447,1,age,90,0,186
08jan2017,90803,1,age,100,0,46
15jan2017,3782781,2,ethnicity,0,0,640
15jan2017,293498,2,ethnicity,1,0,13
15jan2017,3620552,2,gender,1,0,580
15jan2017,7179759,2,overall,1,0,1083
15jan2017,248147,2,region,1,0,29
15jan2017,180475,2,ethnicity,2,0,25
15jan2017,3559207,2,gender,2,0,503
15jan2017,1225667,2,region,2,0,202
15jan2017,86706,2,ethnicity,3,0,6
15jan2017,259821,2,region,3,0,45
15jan2017,56114,2,ethnicity,4,0,6
15jan2017,172572,2,region,4,0,26
15jan2017,2780185,2,ethnicity,5,0,393
15jan2017,1157526,2,region,5,0,157
15jan2017,354812,2,region,6,0,59
15jan2017,879690,2,region,7,0,179
15jan2017,911389,2,region,8,0,142
15jan2017,1311232,2,region,9,0,140
15jan2017,613926,2,region,10,0,96
15jan2017,31715,2,region,11,0,5
15jan2017,13262,2,region,12,0,7
15jan2017,1563679,2,age,40,0,83
15jan2017,1579410,2,age,50,0,126
15jan2017,1521819,2,age,60,0,183
15jan2017,1165840,2,age,70,0,225
15jan2017,833156,2,age,80,0,259
15jan2017,425611,2,age,90,0,167
15jan2017,90244,2,age,100,0,40
22jan2017,3781878,3,ethnicity,0,0,632
22jan2017,293710,3,ethnicity,1,0,15
22jan2017,3619919,3,gender,1,0,520
22jan2017,7178546,3,overall,1,0,997
22jan2017,248099,3,region,1,0,39
22jan2017,180521,3,ethnicity,2,0,22
22jan2017,3558627,3,gender,2,0,477
22jan2017,1225521,3,region,2,0,200
22jan2017,86788,3,ethnicity,3,0,5
22jan2017,259885,3,region,3,0,27
22jan2017,56130,3,ethnicity,4,0,5
22jan2017,172561,3,region,4,0,24
22jan2017,2779519,3,ethnicity,5,0,326
22jan2017,1157266,3,region,5,0,193
22jan2017,354759,3,region,6,0,48
22jan2017,878451,3,region,7,0,132
22jan2017,910786,3,region,8,0,110
22jan2017,1312358,3,region,9,0,126
22jan2017,613898,3,region,10,0,93
22jan2017,31702,3,region,11,0,5
22jan2017,13260,3,region,12,0,5
22jan2017,1564322,3,age,40,0,91
22jan2017,1579782,3,age,50,0,138
22jan2017,1521931,3,age,60,0,162
22jan2017,1165577,3,age,70,0,170
22jan2017,832655,3,age,80,0,227
22jan2017,424696,3,age,90,0,158
22jan2017,89583,3,age,100,0,51
29jan2017,3782353,4,ethnicity,0,0,589
29jan2017,293929,4,ethnicity,1,0,12
29jan2017,3620243,4,gender,1,0,509
29jan2017,7179622,4,overall,1,0,1005
29jan2017,248104,4,region,1,0,18
29jan2017,180595,4,ethnicity,2,0,27
29jan2017,3559379,4,gender,2,0,496
29jan2017,1225486,4,region,2,0,192
29jan2017,86880,4,ethnicity,3,0,6
29jan2017,259964,4,region,3,0,51
29jan2017,56193,4,ethnicity,4,0,7
29jan2017,172593,4,region,4,0,31
29jan2017,2779672,4,ethnicity,5,0,364
29jan2017,1157244,4,region,5,0,154
29jan2017,354748,4,region,6,0,40
29jan2017,878397,4,region,7,0,136
29jan2017,910607,4,region,8,0,131
29jan2017,1313581,4,region,9,0,132
29jan2017,613944,4,region,10,0,114
29jan2017,31698,4,region,11,0,5
29jan2017,13256,4,region,12,0,5
29jan2017,1565699,4,age,40,0,76
29jan2017,1580552,4,age,50,0,142
29jan2017,1522295,4,age,60,0,152
29jan2017,1165691,4,age,70,0,216
29jan2017,832405,4,age,80,0,210
29jan2017,423872,4,age,90,0,166
29jan2017,89108,4,age,100,0,43
05feb2017,3783089,5,ethnicity,0,0,501
05feb2017,294110,5,ethnicity,1,0,12
05feb2017,3620295,5,gender,1,0,440
05feb2017,7179865,5,overall,1,0,837
05feb2017,248031,5,region,1,0,41
05feb2017,180657,5,ethnicity,2,0,21
05feb2017,3559570,5,gender,2,0,397
05feb2017,1225461,5,region,2,0,158
05feb2017,86967,5,ethnicity,3,0,5
05feb2017,260141,5,region,3,0,39
05feb2017,56234,5,ethnicity,4,0,5
05feb2017,172571,5,region,4,0,12
05feb2017,2778808,5,ethnicity,5,0,294
05feb2017,1156284,5,region,5,0,112
05feb2017,354744,5,region,6,0,43
05feb2017,878515,5,region,7,0,138
05feb2017,910695,5,region,8,0,86
05feb2017,1314455,5,region,9,0,127
05feb2017,614020,5,region,10,0,73
05feb2017,31691,5,region,11,0,5
05feb2017,13257,5,region,12,0,5
05feb2017,1566937,5,age,40,0,83
05feb2017,1581070,5,age,50,0,99
05feb2017,1522527,5,age,60,0,112
05feb2017,1165677,5,age,70,0,171
05feb2017,832037,5,age,80,0,189
05feb2017,422998,5,age,90,0,141
05feb2017,88619,5,age,100,0,42
12feb2017,3783492,6,ethnicity,0,0,483
12feb2017,294253,6,ethnicity,1,0,19
12feb2017,3620449,6,gender,1,0,432
12feb2017,7180418,6,overall,1,0,828
12feb2017,247977,6,region,1,0,42
12feb2017,180751,6,ethnicity,2,0,9
12feb2017,3559969,6,gender,2,0,396
12feb2017,1225319,6,region,2,0,159
12feb2017,87063,6,ethnicity,3,0,5
12feb2017,260174,6,region,3,0,34
12feb2017,56257,6,ethnicity,4,0,5
12feb2017,172533,6,region,4,0,20
12feb2017,2778602,6,ethnicity,5,0,309
12feb2017,1156284,6,region,5,0,137
12feb2017,354695,6,region,6,0,38
12feb2017,878551,6,region,7,0,132
12feb2017,910602,6,region,8,0,84
12feb2017,1315080,6,region,9,0,104
12feb2017,614262,6,region,10,0,69
12feb2017,31685,6,region,11,0,5
12feb2017,13256,6,region,12,0,7
12feb2017,1568095,6,age,40,0,89
12feb2017,1581651,6,age,50,0,113
12feb2017,1522794,6,age,60,0,122
12feb2017,1165756,6,age,70,0,169
12feb2017,831706,6,age,80,0,174
12feb2017,422301,6,age,90,0,133
12feb2017,88115,6,age,100,0,28
19feb2017,3783897,7,ethnicity,0,0,502
19feb2017,294297,7,ethnicity,1,0,11
19feb2017,3620340,7,gender,1,0,442
19feb2017,7180406,7,overall,1,0,854
19feb2017,247834,7,region,1,0,29
19feb2017,180760,7,ethnicity,2,0,13
19feb2017,3560066,7,gender,2,0,412
19feb2017,1225054,7,region,2,0,159
19feb2017,87061,7,ethnicity,3,0,5
19feb2017,260218,7,region,3,0,48
19feb2017,56263,7,ethnicity,4,0,5
19feb2017,172502,7,region,4,0,18
19feb2017,2778128,7,ethnicity,5,0,323
19feb2017,1156056,7,region,5,0,151
19feb2017,354660,7,region,6,0,45
19feb2017,878565,7,region,7,0,140
19feb2017,910499,7,region,8,0,74
19feb2017,1315742,7,region,9,0,102
19feb2017,614343,7,region,10,0,83
19feb2017,31687,7,region,11,0,5
19feb2017,13246,7,region,12,0,5
19feb2017,1568996,7,age,40,0,61
19feb2017,1582043,7,age,50,0,111
19feb2017,1523107,7,age,60,0,132
19feb2017,1165722,7,age,70,0,169
19feb2017,831351,7,age,80,0,193
19feb2017,421569,7,age,90,0,165
19feb2017,87618,7,age,100,0,23
26feb2017,3784564,8,ethnicity,0,0,506
26feb2017,294422,8,ethnicity,1,0,9
26feb2017,3620416,8,gender,1,0,435
